"Part name","Quantity"
"25x25x10_fan","2"
"95844A225_18-8 Stainless Steel Phillips Flat Head Screws for Metal","4"
"Couplint_gear","1"
"MX-64T motor","1"
"Middle_gear","1"
"Multiplier_base","1"
"Multiplier_cap","1"
"Multiplier_connector","1"
"Nut M2.5 DIN934","8"
"Nut M3 DIN934","1"
"Output_gear","1"
"Pizza_disk","1"
"Scoop","1"
"Screw M2.5x6 ISO7380","4"
"Screw M2.5x8 ISO7380","8"
"Screw M2x8 ISO7380","4"
"Screw M3x10 ISO7380","14"
"Screw M3x20 ISO7380","1"
"Screw M4x12 DIN912","1"
"Washer M3 DIN125","2"
"Washer M5 DIN125","2"
